Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,Price_Change_Percent,MA_7,MA_30,MA_90,Volatility_7d,Year,Month,Day_of_Week,Quarter
2010-06-29,1.27,1.67,1.17,1.59,281494500,,0.5,0.32,25.2,,,,,2010,6,Tuesday,2
2010-06-30,1.72,2.03,1.55,1.59,257806500,0.0,0.48,-0.13,-7.56,,,,,2010,6,Wednesday,2
2010-07-01,1.67,1.73,1.35,1.46,123282000,-0.0818,0.38,-0.21,-12.57,,,,,2010,7,Thursday,3
2010-07-02,1.53,1.54,1.25,1.28,77097000,-0.1233,0.29,-0.25,-16.34,,,,,2010,7,Friday,3
2010-07-06,1.33,1.33,1.06,1.07,103003500,-0.1641,0.27,-0.26,-19.55,,,,,2010,7,Tuesday,3
2010-07-07,1.09,1.11,1.0,1.05,103825500,-0.0187,0.11,-0.04,-3.67,,,,,2010,7,Wednesday,3
2010-07-08,1.08,1.17,1.04,1.16,115671000,0.1048,0.13,0.08,7.41,1.31,,,,2010,7,Thursday,3
2010-07-09,1.17,1.19,1.1,1.16,60759000,0.0,0.09,-0.01,-0.85,1.25,,,0.0901,2010,7,Friday,3
2010-07-12,1.2,1.2,1.13,1.14,33037500,-0.0172,0.07,-0.06,-5.0,1.19,,,0.089,2010,7,Monday,3
2010-07-13,1.16,1.24,1.13,1.21,40201500,0.0614,0.11,0.05,4.31,1.15,,,0.0949,2010,7,Tuesday,3
2010-07-14,1.2,1.34,1.18,1.32,62928000,0.0909,0.16,0.12,10.0,1.16,,,0.0914,2010,7,Wednesday,3
2010-07-15,1.33,1.43,1.27,1.33,56097000,0.0076,0.16,0.0,0.0,1.2,,,0.052,2010,7,Thursday,3
2010-07-16,1.38,1.42,1.34,1.38,39319500,0.0376,0.08,0.0,0.0,1.24,,,0.0469,2010,7,Friday,3
2010-07-19,1.42,1.48,1.39,1.46,37297500,0.058,0.09,0.04,2.82,1.29,,,0.0388,2010,7,Monday,3
2010-07-20,1.46,1.46,1.34,1.35,27379500,-0.0753,0.12,-0.11,-7.53,1.31,,,0.0563,2010,7,Tuesday,3
2010-07-21,1.38,1.39,1.3,1.35,18787500,0.0,0.09,-0.03,-2.17,1.34,,,0.0546,2010,7,Wednesday,3
2010-07-22,1.37,1.42,1.36,1.4,14367000,0.037,0.06,0.03,2.19,1.37,,,0.0527,2010,7,Thursday,3
2010-07-23,1.41,1.44,1.4,1.42,9804000,0.0143,0.04,0.01,0.71,1.38,,,0.0432,2010,7,Friday,3
2010-07-26,1.43,1.43,1.35,1.4,13833000,-0.0141,0.08,-0.03,-2.1,1.39,,,0.0442,2010,7,Monday,3
2010-07-27,1.39,1.41,1.35,1.37,9295500,-0.0214,0.06,-0.02,-1.44,1.39,,,0.0433,2010,7,Tuesday,3
2010-07-28,1.37,1.39,1.37,1.38,7008000,0.0073,0.02,0.01,0.73,1.38,,,0.0355,2010,7,Wednesday,3
2010-07-29,1.38,1.39,1.33,1.36,9240000,-0.0145,0.06,-0.02,-1.45,1.38,,,0.0203,2010,7,Thursday,3
2010-07-30,1.35,1.36,1.3,1.33,6403500,-0.0221,0.06,-0.02,-1.48,1.38,,,0.0222,2010,7,Friday,3
2010-08-02,1.37,1.4,1.36,1.39,10771500,0.0451,0.04,0.02,1.46,1.38,,,0.0246,2010,8,Monday,3
2010-08-03,1.4,1.46,1.39,1.46,18457500,0.0504,0.07,0.06,4.29,1.38,,,0.0312,2010,8,Tuesday,3
2010-08-04,1.46,1.48,1.39,1.42,13695000,-0.0274,0.09,-0.04,-2.74,1.39,,,0.0329,2010,8,Wednesday,3
2010-08-05,1.44,1.44,1.34,1.36,11943000,-0.0423,0.1,-0.08,-5.56,1.39,,,0.0362,2010,8,Thursday,3
2010-08-06,1.34,1.34,1.3,1.31,11128500,-0.0368,0.04,-0.03,-2.24,1.38,,,0.0384,2010,8,Friday,3
2010-08-09,1.33,1.33,1.3,1.31,12190500,0.0,0.03,-0.02,-1.5,1.37,,,0.0383,2010,8,Monday,3
2010-08-10,1.31,1.31,1.25,1.27,19219500,-0.0305,0.06,-0.04,-3.05,1.36,1.34,,0.0391,2010,8,Tuesday,3
2010-08-11,1.25,1.26,1.19,1.19,11964000,-0.063,0.07,-0.06,-4.8,1.33,1.32,,0.0368,2010,8,Wednesday,3
2010-08-12,1.19,1.19,1.16,1.17,10365000,-0.0168,0.03,-0.02,-1.68,1.29,1.31,,0.0198,2010,8,Thursday,3
2010-08-13,1.21,1.23,1.18,1.22,9510000,0.0427,0.05,0.01,0.83,1.26,1.3,,0.0343,2010,8,Friday,3
2010-08-16,1.23,1.25,1.22,1.25,7287000,0.0246,0.03,0.02,1.63,1.25,1.3,,0.0366,2010,8,Monday,3
2010-08-17,1.26,1.29,1.25,1.28,6718500,0.024,0.04,0.02,1.59,1.24,1.31,,0.0368,2010,8,Tuesday,3
2010-08-18,1.31,1.31,1.24,1.25,9019500,-0.0234,0.07,-0.06,-4.58,1.23,1.31,,0.0376,2010,8,Wednesday,3
2010-08-19,1.24,1.28,1.22,1.25,8686500,0.0,0.06,0.01,0.81,1.23,1.32,,0.036,2010,8,Thursday,3
2010-08-20,1.24,1.27,1.23,1.27,4440000,0.016,0.04,0.03,2.42,1.24,1.32,,0.024,2010,8,Friday,3
2010-08-23,1.27,1.36,1.27,1.34,16321500,0.0551,0.09,0.07,5.51,1.27,1.33,,0.0261,2010,8,Monday,3
2010-08-24,1.28,1.31,1.26,1.28,10096500,-0.0448,0.05,0.0,0.0,1.27,1.33,,0.0333,2010,8,Tuesday,3
2010-08-25,1.28,1.33,1.24,1.33,7549500,0.0391,0.09,0.05,3.91,1.29,1.33,,0.035,2010,8,Wednesday,3
2010-08-26,1.33,1.35,1.31,1.32,6507000,-0.0075,0.04,-0.01,-0.75,1.29,1.33,,0.0348,2010,8,Thursday,3
2010-08-27,1.32,1.32,1.3,1.31,5694000,-0.0076,0.02,-0.01,-0.76,1.3,1.33,,0.0331,2010,8,Friday,3
2010-08-30,1.31,1.35,1.31,1.32,10992000,0.0076,0.04,0.01,0.76,1.31,1.32,,0.033,2010,8,Monday,3
2010-08-31,1.31,1.32,1.29,1.3,3016500,-0.0152,0.03,-0.01,-0.76,1.31,1.32,,0.0338,2010,8,Tuesday,3
2010-09-01,1.31,1.38,1.31,1.36,7423500,0.0462,0.07,0.05,3.82,1.32,1.32,,0.0317,2010,9,Wednesday,3
2010-09-02,1.36,1.42,1.35,1.4,7306500,0.0294,0.07,0.04,2.94,1.33,1.32,,0.0249,2010,9,Thursday,3
2010-09-03,1.39,1.42,1.38,1.4,6519000,0.0,0.04,0.01,0.72,1.34,1.32,,0.0224,2010,9,Friday,3
2010-09-07,1.37,1.4,1.37,1.37,3651000,-0.0214,0.03,0.0,0.0,1.35,1.32,,0.0244,2010,9,Tuesday,3
